Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Description,Body
2060002,Académie Scientifique de Beauté,Crème anti-âge,Sève Miracle - La Crème,Default Title,63,Yes,https://www.academiebeaute.com/products/seve-miracle-la-creme,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Seve_la_creme-jour_nuit.png?v=1666080015;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve-miracle_creme.jpg?v=1669022242;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve-miracle_creme4.jpg?v=1678878979;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve-miracle_creme3.jpg?v=1678878979;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve_miracle_serum6.jpg?v=1678878979;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/am_seve_miracle_creme.jpg?v=1678878979,"Plus de 50 ans après ses premiers émois, Sève Miracle ? La Crème est le soin culte pro-age qui aide à prévenir l'apparition des premiers signes de l'âge et revitalise la peau.","<p>Plus de 50 ans après ses premiers émois, Sève Miracle ? La Crème est le soin culte pro-age qui aide à prévenir l'apparition des premiers signes de l'âge et revitalise la peau.<br></p>"
,,,,,,,,,,
3223000,Académie Scientifique de Beauté,Déodorant Anti-transpirant Post-épilation,Déodorant Roll-on Anti-transpirant Post-épilation,Default Title,30,Yes,https://www.academiebeaute.com/products/deodorant-roll-on-anti-transpirant-post-epilation,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Les_essentiels_corps_deodorant_roll-on_anti-transpirant_post-epilation.png?v=1666077861;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/deodorantroll-on_889a03da-59ec-4d09-91d0-abd839cc423f.jpg?v=1686730390;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/deodorantroll-onembout.jpg?v=1686730390;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/gamme_8f8e78f2-5311-4fef-b699-9a1317c9a922.jpg?v=1686730586,Alliance parfaite d'une action déodorante et anti-repousse du poil.,<p>Alliance parfaite d'une action déodorante et anti-repousse du poil.</p>
,,,,,,,,,,
2160112,Académie Scientifique de Beauté,Lait corps collagène marin,Lait pour le Corps au Collagène Marin,Default Title,34,Yes,https://www.academiebeaute.com/products/lait-pour-le-corps-au-collagene-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Les_essentiels_corps_lait_pour_le_corps_au_collagene_marin.png?v=1666077903;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/AM_lait_corps_collagene_marin_essentiels_corps.jpg?v=1669039712;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/lait-collegene.jpg?v=1669039790,Pour une hydratation rapide au quotidien.,<p>Pour une hydratation rapide au quotidien.</p>
,,,,,,,,,,
9120001,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Naturel 01,38,No,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_naturel1.png?v=1666265980;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/cremes-teintees.jpg?v=1669031623;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/teintes-creme-teintes.jpg?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_beige_rose2.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_sable3.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_golden4.png?v=1669131276,BB crème 3 en 1 pour un effet seconde peau.,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,,
9120002,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Beige rosé 02,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_naturel1.png?v=1666265980;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/cremes-teintees.jpg?v=1669031623;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/teintes-creme-teintes.jpg?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_beige_rose2.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_sable3.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_golden4.png?v=1669131276,BB crème 3 en 1 pour un effet seconde peau.,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,,
9120003,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Sable 03,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_naturel1.png?v=1666265980;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/cremes-teintees.jpg?v=1669031623;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/teintes-creme-teintes.jpg?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_beige_rose2.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_sable3.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_golden4.png?v=1669131276,BB crème 3 en 1 pour un effet seconde peau.,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,,
9120004,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Doré 04,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_naturel1.png?v=1666265980;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/cremes-teintees.jpg?v=1669031623;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/teintes-creme-teintes.jpg?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_beige_rose2.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_sable3.png?v=1669131276;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_golden4.png?v=1669131276,BB crème 3 en 1 pour un effet seconde peau.,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,,
9105002,Académie Scientifique de Beauté,Soin anti-âge contour des yeux,Soin Lissant Contours Yeux & Lèvres,Default Title,48,Yes,https://www.academiebeaute.com/products/soin-lissant-contours-yeux-levres,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Produit_Youth_Repair_soins_lissant_contour_yeux_levres_creme_masque_jeunesse_4d2343f9-23c2-447f-8aeb-216ce775ad1a.png?v=1666341055;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/YouthRepair_a706d40e-b8e5-45ee-a666-f839d5afd1ec.jpg?v=1668691235;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/3145079105014_autre2.jpg?v=1668691635;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/3145079105014_autre3.jpg?v=1670507104,Crème &amp; masque jeunesse.,<p>Crème &amp; masque jeunesse.</p>
,,,,,,,,,,
2062002,Académie Scientifique de Beauté,Crème contour des yeux anti-âge,Sève Miracle - Le Regard,Default Title,41,Yes,https://www.academiebeaute.com/products/seve-miracle-le-regard,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Seve_miracle_le_regard.png?v=1666080035;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve_miracle_regard3.jpg?v=1669022112;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve_miracle_regard.jpg?v=1669022112;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/seve_miracle_regard2.jpg?v=1669022112;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/am_seve_regard.jpg?v=1669022112,"Né de la cultissime Sève Miracle, ce soin clarté du regard raffermit et régénère le contour des yeux.","<p>Né de la cultissime Sève Miracle, ce soin clarté du regard raffermit et régénère le contour des yeux.<br></p>"
,,,,,,,,,,
9123002,Académie Scientifique de Beauté,Soin des lèvres,Lèvres 3D Perfection,Default Title,38,Yes,https://www.academiebeaute.com/products/levres-3d-perfection,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_levres_3Dperfection_soin_regenerant.png?v=1666092585;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Levres3D.jpg?v=1669126382;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/levres-3d_34a32560-d980-4c51-92b6-b091f984b833.jpg?v=1670506863;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/3145079123056_autre3.jpg?v=1670506863;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/3145079123056_autre4.jpg?v=1670506863,Inspiré des injections de comblement à l'acide hyaluronique.,<p>Inspiré des injections de comblement à l'acide hyaluronique.</p>
,,,,,,,,,,
2011000,Académie Scientifique de Beauté,Gommage visage marin,Phyto-Gommage Marin,Default Title,19.2,Yes,https://www.academiebeaute.com/products/phyto-gommage-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Phyto-gommage_marin_toutes_peaux.png?v=1666188773;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/PhytoGommageMarin.jpg?v=1669033040;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/PhytoGommageMarinTexture.jpg?v=1669033042;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/GammeHypo-Sensible_05dc371c-5f37-4b3f-9257-0ae665bafcca.jpg?v=1669033168,"Exfoliez et affinez visiblement le grain de peau.
50 ml ","<p>Exfoliez et affinez visiblement le grain de peau.</p>
<p>50 ml </p>"
,,,,,,,,,,
