Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
3300000,Académie Scientifique de Beauté,Gommage corps,Gommage Corps Granité du Lagon,Default Title,16,Yes,https://www.academiebeaute.com/products/gommage-corps-granite-du-lagon,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_Gommage_corps_granite_du-lagon_5114d3df-4a53-41d6-8660-37d3a1a48647.png?v=1666341357,"<p>Inspiré de la Polynésie, notre gommage au sel, à la Fleur de Tiaré et à la coque de noix de coco exfoliante fond sur la peau pour éliminer délicatement les cellules mortes tout en laissant un film protecteur.</p>"
,,,,,,,,,
3301000,Académie Scientifique de Beauté,,Crème Corps Rêve Polynésien,Default Title,17,Yes,https://www.academiebeaute.com/products/creme-corps-reve-polynesien,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_creme_corps-reve-polynesien.png?v=1666077978,"<p><span data-mce-fragment=""1"">Inspirée de la Polynésie, c</span>ette crème hydratante pour le corps au parfum Fleur de Tiaré vous invite pour un voyage des sens à chaque application...</p>"
,,,,,,,,,
1600000,Académie Scientifique de Beauté,Gel nettoyant,Gel Nettoyant,Default Title,30,Yes,https://www.academiebeaute.com/products/gel-nettoyant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Gel_nettoyant_peaux_mixtes_a_grasses.png?v=1666187987,<p>Gel nettoyant matifiant à l'Huile Essentielle de Lavande.</p>
,,,,,,,,,
4520001,Académie Scientifique de Beauté,Matifiant Homme,Baume Actif Hydratant Matifiant,Default Title,46,Yes,https://www.academiebeaute.com/products/baume-actif-hydratant-matifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Men_baume_actif_hydratant_matifiant.png?v=1666091383,<p>2 en 1 - Hydratant &amp; Matifiant.</p>
,,,,,,,,,
518000,Académie Scientifique de Beauté,,Contour des Yeux Anti-Cernes Teinté,Default Title,39,Yes,https://www.academiebeaute.com/products/contour-des-yeux-anti-cernes-teinte,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_contour_des_yeux_anti-cernes_teinte_ce515ccf-c071-4d7b-ae8f-be20ce2e0003.png?v=1666341102,<p>Traite et camoufle les cernes.</p>
,,,,,,,,,
1012711,Académie Scientifique de Beauté,Sérum hydratant,Sérum Hydraderm 24h - Édition Limitée,Default Title,58,Yes,https://www.academiebeaute.com/products/serum-hydraderm-24h-edition-limitee,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_serum_hydraderm24H_edition_limite.png?v=1666077793,<p>Pour une parfaite hydratation de votre peau.</p>
,,,,,,,,,
7389000,Académie Scientifique de Beauté,Ampoules Acide Hyaluronique,Ampoules Acide Hyaluronique,Default Title,42,Yes,https://www.academiebeaute.com/products/ampoules-acide-hyaluronique,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_acide_hyaluronique.png?v=1666187318,<p>Cure intensive de 7 jours à l'Acide Hyaluronique <span data-mce-fragment="1">pour une peau intensément hydratée.</span></p>
,,,,,,,,,
7345000,Académie Scientifique de Beauté,Ampoules Collagène Marin,Ampoules Collagène Marin,Default Title,40,Yes,https://www.academiebeaute.com/products/ampoules-collagene-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_marin.png?v=1666187336,<p>Cure intensive de 7 jours de Collagène Marin pour un effet anti-âge radical. <br></p>
,,,,,,,,,
2082001,Académie Scientifique de Beauté,Démaquillant peaux grasses,Gel Démaquillant Purifiant,Default Title,25,Yes,https://www.academiebeaute.com/products/gel-demaquillant-purifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure-gel_demaquillant_purifiant_vert.png?v=1666080365,<p>Démaquille et élimine les impuretés.</p>
,,,,,,,,,
9106002,Académie Scientifique de Beauté,Sérum anti-âge,Soin Lift Galbe,Default Title,58,Yes,https://www.academiebeaute.com/products/soin-lift-galbe,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Active_Lift_soins_lift_galbe.png?v=1666079530,<p>Resculptant Visage &amp; Cou.</p>
,,,,,,,,,
1004002,Académie Scientifique de Beauté,Crème hydratante,Crème Veloutée,Default Title,55,Yes,https://www.academiebeaute.com/products/creme-veloutee,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_creme_veloutee_hydratation-douceur.png?v=1666077658,<p>Maintient une hydratation fraîcheur de la peau.</p>
,,,,,,,,,
9100002,Académie Scientifique de Beauté,Soin hydratant peaux sèches,Soin Hydratant Régénérant,Default Title,76,Yes,https://www.academiebeaute.com/products/soin-hydratant-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Produit_Youth_Repair_soins_hydratant_regenerant_creme_nutri_revitalisante.png?v=1666092962,<p>Crème nutri-revitalisante.</p>
,,,,,,,,,
2068050,Académie Scientifique de Beauté,Masque anti-rougeurs,Masque Apaisant Anti-Rougeurs,Default Title,18,Yes,https://www.academiebeaute.com/products/masque-apaisant-anti-rougeurs,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Masque_apaisant_anti-rougeurs.png?v=1666188589,<p>Masque réconfortant pour les peaux irritées.</p>
,,,,,,,,,
